Start date,End date,grid load [MWh],,,
"Jan 20, 2025 9:00 AM","Jan 20, 2025 10:00 AM","72,071.75",,,
"Jan 20, 2025 10:00 AM","Jan 20, 2025 11:00 AM","73,029.75",,,
"Jan 20, 2025 11:00 AM","Jan 20, 2025 12:00 PM","73,309.75",,,
"Jan 20, 2025 12:00 PM","Jan 20, 2025 1:00 PM","72,630.25",,,
"Jan 20, 2025 1:00 PM","Jan 20, 2025 2:00 PM","71,407.00",,,
"Jan 20, 2025 2:00 PM","Jan 20, 2025 3:00 PM","69,888.25",,,
"Jan 20, 2025 3:00 PM","Jan 20, 2025 4:00 PM","68,720.00",,,
"Jan 20, 2025 4:00 PM","Jan 20, 2025 5:00 PM","68,620.75",,,
"Jan 20, 2025 5:00 PM","Jan 20, 2025 6:00 PM","70,537.75",,,
"Jan 20, 2025 6:00 PM","Jan 20, 2025 7:00 PM","70,410.25",,,
"Jan 20, 2025 7:00 PM","Jan 20, 2025 8:00 PM","69,302.50",,,
"Jan 20, 2025 8:00 PM","Jan 20, 2025 9:00 PM","65,957.75",,,
"Jan 20, 2025 9:00 PM","Jan 20, 2025 10:00 PM","62,499.00",,,
"Jan 20, 2025 10:00 PM","Jan 20, 2025 11:00 PM","59,589.50",,,
"Jan 20, 2025 11:00 PM","Jan 21, 2025 12:00 AM","56,742.25",,,
"Jan 21, 2025 12:00 AM","Jan 21, 2025 1:00 AM","53,922.50",,,
"Jan 21, 2025 1:00 AM","Jan 21, 2025 2:00 AM","52,188.00",,,
"Jan 21, 2025 2:00 AM","Jan 21, 2025 3:00 AM","51,542.25",,,
"Jan 21, 2025 3:00 AM","Jan 21, 2025 4:00 AM","51,784.25",,,
"Jan 21, 2025 4:00 AM","Jan 21, 2025 5:00 AM","53,021.25",,,
"Jan 21, 2025 5:00 AM","Jan 21, 2025 6:00 AM","56,540.25",,,
"Jan 21, 2025 6:00 AM","Jan 21, 2025 7:00 AM","63,396.75",,,
"Jan 21, 2025 7:00 AM","Jan 21, 2025 8:00 AM","69,388.75",,,
"Jan 21, 2025 8:00 AM","Jan 21, 2025 9:00 AM","72,472.75",,,
"Jan 21, 2025 9:00 AM","Jan 21, 2025 10:00 AM","72,922.75",,,
"Jan 21, 2025 10:00 AM","Jan 21, 2025 11:00 AM","73,355.25",,,
"Jan 21, 2025 11:00 AM","Jan 21, 2025 12:00 PM","72,621.50",,,
"Jan 21, 2025 12:00 PM","Jan 21, 2025 1:00 PM","71,705.50",,,
"Jan 21, 2025 1:00 PM","Jan 21, 2025 2:00 PM","70,791.25",,,
"Jan 21, 2025 2:00 PM","Jan 21, 2025 3:00 PM","69,005.25",,,
"Jan 21, 2025 3:00 PM","Jan 21, 2025 4:00 PM","68,788.50",,,
"Jan 21, 2025 4:00 PM","Jan 21, 2025 5:00 PM","69,070.00",,,
"Jan 21, 2025 5:00 PM","Jan 21, 2025 6:00 PM","71,171.25",,,
"Jan 21, 2025 6:00 PM","Jan 21, 2025 7:00 PM","71,745.50",,,
"Jan 21, 2025 7:00 PM","Jan 21, 2025 8:00 PM","70,029.50",,,
"Jan 21, 2025 8:00 PM","Jan 21, 2025 9:00 PM","66,173.25",,,
"Jan 21, 2025 9:00 PM","Jan 21, 2025 10:00 PM","62,351.00",,,
"Jan 21, 2025 10:00 PM","Jan 21, 2025 11:00 PM","59,420.25",,,
"Jan 21, 2025 11:00 PM","Jan 22, 2025 12:00 AM","56,267.75",,,
"Jan 22, 2025 12:00 AM","Jan 22, 2025 1:00 AM","53,601.25",,,
"Jan 22, 2025 1:00 AM","Jan 22, 2025 2:00 AM","51,804.50",,,
"Jan 22, 2025 2:00 AM","Jan 22, 2025 3:00 AM","51,034.50",,,
"Jan 22, 2025 3:00 AM","Jan 22, 2025 4:00 AM","50,912.75",,,
"Jan 22, 2025 4:00 AM","Jan 22, 2025 5:00 AM","51,945.50",,,
"Jan 22, 2025 5:00 AM","Jan 22, 2025 6:00 AM","55,078.00",,,
"Jan 22, 2025 6:00 AM","Jan 22, 2025 7:00 AM","62,013.50",,,
"Jan 22, 2025 7:00 AM","Jan 22, 2025 8:00 AM","67,090.75",,,
"Jan 22, 2025 8:00 AM","Jan 22, 2025 9:00 AM","69,578.75",,,
"Jan 22, 2025 9:00 AM","Jan 22, 2025 10:00 AM","70,502.25",,,
"Jan 22, 2025 10:00 AM","Jan 22, 2025 11:00 AM","70,606.50",,,
"Jan 22, 2025 11:00 AM","Jan 22, 2025 12:00 PM","70,912.00",,,
"Jan 22, 2025 12:00 PM","Jan 22, 2025 1:00 PM","70,637.25",,,
"Jan 22, 2025 1:00 PM","Jan 22, 2025 2:00 PM","68,468.75",,,
"Jan 22, 2025 2:00 PM","Jan 22, 2025 3:00 PM","67,087.50",,,
"Jan 22, 2025 3:00 PM","Jan 22, 2025 4:00 PM","66,563.00",,,
"Jan 22, 2025 4:00 PM","Jan 22, 2025 5:00 PM","67,120.75",,,
"Jan 22, 2025 5:00 PM","Jan 22, 2025 6:00 PM","69,691.50",,,
"Jan 22, 2025 6:00 PM","Jan 22, 2025 7:00 PM","70,212.25",,,
"Jan 22, 2025 7:00 PM","Jan 22, 2025 8:00 PM","67,964.75",,,
"Jan 22, 2025 8:00 PM","Jan 22, 2025 9:00 PM","64,835.25",,,
"Jan 22, 2025 9:00 PM","Jan 22, 2025 10:00 PM","61,258.00",,,
"Jan 22, 2025 10:00 PM","Jan 22, 2025 11:00 PM","57,632.75",,,
"Jan 22, 2025 11:00 PM","Jan 23, 2025 12:00 AM","53,828.50",,,
"Jan 23, 2025 12:00 AM","Jan 23, 2025 1:00 AM","49,754.25",,,
"Jan 23, 2025 1:00 AM","Jan 23, 2025 2:00 AM","47,503.75",,,
"Jan 23, 2025 2:00 AM","Jan 23, 2025 3:00 AM","47,180.75",,,
"Jan 23, 2025 3:00 AM","Jan 23, 2025 4:00 AM","46,953.25",,,
